CustomerID,Age,Gender,MaritalStatus,Income,Region,PolicyType,PolicyStartYear,PremiumMonthly,ClaimsMade,ClaimsRejected,LastClaimAmount,RenewalStatus,CustomerSatisfaction,NumberOfInquiriesLastYear,HouseType,LifeInsuranceType,HealthInsurancePlan,CustomerFeedbackScore,DigitalPlatformUsage,PolicyUpgradesLastYear,FraudulentClaims,PolicyDurationMonths,CoverDetails,TimeToResolutionDays,ClaimReasons,CommunicationMeans,CustomerServiceFrequency,ServiceNature,PolicyDiscounts,PremiumPaymentFrequency,MissedPayments,VehicleType
200,49,M,Single,56817,Kisumu,Property,2019,135,4,2,2000,Not Renewed,5,0,Bungalow,Term,Basic,8,Medium,1,0,178,Standard,10,Theft,Phone Call,9,Query,10,Quarterly,5,Subaru Forester
200,18,F,Divorced,65938,Eldoret,Property,2021,124,3,0,11,Not Renewed,2,3,,,,7,Low,1,0,12,Basic,3,Property Damage,Phone Call,3,Complaint,1,Weekly,1,Mazda CX-5
1,25,F,Single,78940,Turkana,Education,2021,136,2,1,2500,Not Renewed,4,1,Bungalow,Term,Premium,10,Medium,1,0,228,Basic,3,Accident,Email,3,Update,1,Quarterly,4,Mercedes
25,41,F,Married,36098,Eldoret,Property,2021,173,1,1,11,Not Renewed,1,2,,,,2,Medium,1,1,147,Comprehensive,3,Accident,Email,2,Complaint,1,Annually,1,Subaru Forester
165,27,M,Single,40087,Eldoret,Motor,2019,137,3,0,0,Not Renewed,2,2,Bungalow,Term,Premium,2,Low,1,0,372,Standard,2,Accident,Email,0,Complaint,1,Weekly,2,Mercedes
150,18,M,Widowed,59673,Eldoret,Property,2020,132,4,0,0,Not Renewed,1,1,Bungalow,Term,Basic,2,High,2,0,24,Comprehensive,9,Theft,Skype,1,Complaint,14,Monthly,0,Mazda CX-5
36,18,M,Widowed,42500,Kisumu,Motor,2019,172,0,1,2000,Not Renewed,2,1,Apartment,Term,Basic,8,Medium,2,0,99,Comprehensive,6,Accident,Phone Call,0,Complaint,7,Quarterly,5,Mercedes
160,39,M,Single,52847,Nairobi,Property,2018,126,1,2,1800,Not Renewed,1,0,Apartment,Whole,Basic,8,High,2,0,51,Comprehensive,19,Accident,Phone Call,6,Update,5,Monthly,5,Mazda CX-5
107,45,M,Widowed,36829,Kisumu,Education,2019,150,3,2,2600,Not Renewed,2,2,Bungalow,Term,Premium,5,High,1,1,253,Comprehensive,12,Theft,Email,2,Update,8,Weekly,2,Nissan X-Trail
150,39,M,Divorced,46782,Busia,Education,2017,105,1,0,11,Not Renewed,2,1,,,,1,Medium,2,0,22,Comprehensive,26,Maturity,Email,1,Update,0,Monthly,1,Subaru Forester
102,35,M,Divorced,60000,Busia,Property,2021,148,3,1,59,Not Renewed,4,3,Bungalow,Term,Basic,5,Medium,1,1,7,Standard,12,Health Issue,Skype,3,Complaint,1,Semi-Annual,1,Subaru Forester
123,58,M,Single,67049,Kiambu,Property,2018,173,3,2,3000,Not Renewed,4,3,Bungalow,Term,Basic,4,High,2,1,280,Basic,16,Theft,Skype,2,Update,4,Annually,1,Mercedes
123,24,M,Widowed,69500,Busia,Property,2018,171,1,1,420,Not Renewed,3,2,Apartment,Term,Basic,4,High,1,0,30,Comprehensive,4,Maturity,Email,7,Update,2,Annually,5,Mercedes
123,67,M,Single,58049,Kiambu,Health,2019,151,2,1,2200,Not Renewed,1,0,Bungalow,Term,Premium,6,Medium,2,1,351,Comprehensive,24,Property Damage,Email,1,Update,2,Annually,4,Mercedes
120,38,F,Divorced,59784,Narok,Property,2021,163,0,0,0,Not Renewed,3,0,,,,3,Medium,0,0,4,Comprehensive,4,Health Issue,Skype,3,Complaint,10,Quarterly,2,Mazda CX-5
